Body,Body Name,Name,Amount,Pay Date,Transaction Number,Description 1,Description 2
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,LiveWest Homes Ltd,"19,915.52",08/03/2023,93033720,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,LiveWest Homes Ltd,"2,154.76",08/03/2023,93033721,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,LiveWest Homes Ltd,"8,408.28",08/03/2023,93033721,TPP - Payments to voluntary groups,Flexible Homelessness Support Grant
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,LiveWest Homes Ltd,"9,754.20",08/03/2023,93033722,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,LiveWest Homes Ltd,"26,776.00",08/03/2023,93033723,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Milestones Trust,"12,498.13",24/03/2023,93043315,TPP - Payments to voluntary groups,Supporting People General - Vol Orgs
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-204,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-306,24/03/2023,93043318,TPP - Day Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,612,24/03/2023,93043318,TPP - Day Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,786.86,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-466.29,24/03/2023,93043318,TPP - Day Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-714,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-102,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,408,24/03/2023,93043318,TPP - Day Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-204,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,408,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-306,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-29.14,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,408,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-408,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,612,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,-102,24/03/2023,93043318,TPP - Day Care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,816,24/03/2023,93043318,TPP - Day Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,816,24/03/2023,93043318,TPP - Day Care,South - Mental Health - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,"1,224.00",24/03/2023,93043318,TPP - Day Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,408,24/03/2023,93043318,TPP - Day Care,South - Mental Health - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,49.29,24/03/2023,93043319,TPP ? Supported Living,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,230,24/03/2023,93043319,TPP ? Supported Living,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,230,24/03/2023,93043319,TPP ? Supported Living,South - Social: Substance Misuse - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,8.21,24/03/2023,93043319,TPP ? Supported Living,South - Social: Substance Misuse - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,368,24/03/2023,93043319,TPP ? Supported Living,South - Memory & Cognition - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,184,24/03/2023,93043319,TPP ? Supported Living,South - Mental Health - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,230,24/03/2023,93043319,TPP ? Supported Living,South - Social: Substance Misuse - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Age UK Bristol,230,24/03/2023,93043319,TPP ? Supported Living,South - Social: Substance Misuse - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,The Brigstowe Project,"6,095.56",08/03/2023,93033705,TPP - Payments to voluntary groups,Supporting People General - Vol Orgs
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Bristol Charities (Main Account),"1,494.96",08/03/2023,93033706,TPP - Payments to voluntary groups,Supporting People General - Vol Orgs
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",-313.9,03/03/2023,93029096,SUC - Nursing Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",683.76,03/03/2023,93029096,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,783.71",03/03/2023,93029096,TPP - Nursing care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-2,393.16",03/03/2023,93029096,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-1,114.82",03/03/2023,93029096,SUC - Nursing Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",03/03/2023,93029096,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,337.79",03/03/2023,93029096,TPP - Nursing care,South - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",-7.3,03/03/2023,93029096,SUC - Nursing Care,North and West - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,635.07",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-2,393.16",03/03/2023,93029096,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,093.48",03/03/2023,93029096,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",-8.92,03/03/2023,93029096,SUC - Nursing Care,North and West - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,768.86",03/03/2023,93029096,TPP - Nursing care,North and West - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,337.78",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,486.43",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-2,393.16",03/03/2023,93029096,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",448.6,03/03/2023,93029096,TPP - Nursing care,North and West - Mental Health - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",03/03/2023,93029096,TPP - Nursing care,South - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,025.64",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,341.12",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",683.76,03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",-313.9,03/03/2023,93029096,SUC - Nursing Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",-156.95,03/03/2023,93029096,SUC - Nursing Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,341.12",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,505.01",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-2,393.16",03/03/2023,93029096,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",-201.79,03/03/2023,93029096,SUC - Nursing Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,196.58",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-2,393.16",03/03/2023,93029096,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-1,880.34",03/03/2023,93029096,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",03/03/2023,93029096,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,560.76",03/03/2023,93029097,TPP - Residential Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,025.64",03/03/2023,93029097,TPP - Residential Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,226.31",03/03/2023,93029097,TPP - Residential Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",03/03/2023,93029097,TPP - Residential Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","-2,051.28",17/03/2023,93037126,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,081.00",17/03/2023,93037126,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,093.48",17/03/2023,93037126,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",17/03/2023,93037126,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",594.57,17/03/2023,93037126,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,189.14",17/03/2023,93037126,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",17/03/2023,93037126,TPP - Nursing care,South - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","2,393.16",17/03/2023,93037126,TPP - Nursing care,North and West - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,040.50",17/03/2023,93037126,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,263.47",17/03/2023,93037126,TPP - Nursing care,North and West - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,635.07",17/03/2023,93037126,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",170.94,17/03/2023,93037127,TPP - Residential Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,538.46",17/03/2023,93037127,TPP - Residential Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",854.7,17/03/2023,93037127,TPP - Residential Care,Inner City and East - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB",683.76,17/03/2023,93037127,TPP - Residential Care,Inner City and East - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire ICB","1,337.79",17/03/2023,93037127,TPP - Residential Care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,The Care Forum,"3,033.33",07/03/2023,93030269,TPP - Payments to voluntary groups,ABC Services ? Vol Orgs ? Information & Early Intervention
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,The Care Forum,"11,800.00",07/03/2023,93030269,TPP - Payments to voluntary groups,ABC Services ? Vol Orgs ? Information & Early Intervention
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,The Carers Support Centre,"14,347.20",24/03/2023,93043346,TPP - Payments to voluntary groups,Social Support: Support to Carer (Pooled)
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,The Carers Support Centre,"14,343.20",24/03/2023,93043346,TPP - Payments to voluntary groups,ABC Services ? Vol Orgs ? Social Support: Support for Carer
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Elim Housing Association,"28,230.00",08/03/2023,93033726,TPP - Payments to voluntary groups,Housing Options Commissioning
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029145,TPP - Nursing care,FNC - Imported - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029145,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029145,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029145,TPP - Nursing care,FNC - Imported - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,-313.9,03/03/2023,93029146,SUC - Nursing Care,Inner City and East - Sensory - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,-491.74,03/03/2023,93029146,SUC - Nursing Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,573.24",03/03/2023,93029146,TPP - Nursing care,South - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"2,040.00",03/03/2023,93029146,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,-558.46,03/03/2023,93029146,SUC - Nursing Care,North and West - Mental Health - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,89.65,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,-313.9,03/03/2023,93029146,SUC - Nursing Care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"2,040.00",03/03/2023,93029146,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,573.24",03/03/2023,93029146,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,665.71",03/03/2023,93029146,TPP - Nursing care,North and West - Physical - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,872.90",03/03/2023,93029146,TPP - Nursing care,North and West - Sensory - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,574.00",03/03/2023,93029146,TPP - Nursing care,Inner City and East - Sensory - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,574.00",03/03/2023,93029146,TPP - Nursing care,North and West - Mental Health - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,768.86",03/03/2023,93029146,TPP - Nursing care,North and West - Memory & Cognition - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Care Managed - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,03/03/2023,93029146,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"1,767.62",03/03/2023,93029146,TPP - Nursing care,North and West - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,17/03/2023,93037179,TPP - Nursing care,FNC - Imported - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,17/03/2023,93037179,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,17/03/2023,93037179,TPP - Nursing care,FNC - Self Funded - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,17/03/2023,93037179,TPP - Nursing care,FNC - Imported - Control Account
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,"2,040.00",17/03/2023,93037180,TPP - Nursing care,Inner City and East - Physical - 65+
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Field House Care Home t/a Horfield Care Limited,418.38,17/03/2023,93037180,TPP - Nursing care,FNC - Self Funded - Control Account
